property_name,society,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
3 BHK Flat in Bhangar,simoco sanhita housing complex,0.27,3857.0,Super Built up area 916(85.1 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),3.0,2,1,not available,"Bhangar, Kolkata West, Kolkata",2,NA,0 to 1 Year Old,,Excellent features available in this gated apartment complex. Construction has just been completed and is ready to be moved in.,,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Waste Disposal', 'Club house / Community Center']","['Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Connectivity3.8 out of 5', 'Environment3.6 out of 5']"
3 BHK Flat in Rajarhat,team taurus kabya,0.52,3729.0,Super Built up area 1287(119.57 sq.m.),3.0,2,2,not available,"Block C, Rajarhat, Kolkata East, Kolkata",2,NA,0 to 1 Year Old,"['Dharmaraj Temple', 'Kali Mandir', 'Mukherjee Barir Durgadalan', 'Rekjoani Shitala Mandir', 'Kali Temple', 'Kali mandir', 'Manasha Mandir', 'Rajarhat Police Station Kali Temple', 'Radha Krishna Mandir', 'Kanjialpara Shani Mandir', 'Kali Mandir', 'Shreeramkhan Kali Bari Temple', 'Hanuman Mandir', 'Rajarhat Shitala Kali Temple', 'Krishna Mandir', 'Badamtala Shib Mandir', 'Dakbunglow Shani Kali Mandir', 'Masjid', 'Nathpara Shib Mandir', 'Nathpara Temple', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Netram Eye Hospital', 'Geetanjali IT Park', 'Airport Bus Stand lines VS1', 'Indian Oil', 'Stash Cafe', 'KATHI JUNCTION', 'Amity University', 'Aliah University']","3bhk flat on the second floor of a four-Storey building of size 1287 square feet with a covered car park for one car in kabya residential complex in rajarhat, kolkata east. The apartment is new and ready to move. The project offers apartments with a perfect combination of contemporary architecture and features to provide comfortable living. It comprises of all world-Class amenities such as 24hrs water supply, 24hrs backup electricity, cctv cameras, community hall, compound, covered car parking, gated community, gym, jogging track, landscaped garden, lift, play area, security personnel and swimming pool. Kabya is strategically located in close proximity to all civic amenities such as schools, colleges, hospitals, shopping malls, grocery stores, restaurants, recreational centres etc. The complete address of kabya is water tank reckjoani, rajarhat, kolkata, west bengal, india.Specification of the apartment
Living room: 3.61m x 3.17m
Dining: 3.89m x 2.66m
Kitchen: 2.46m x 2.18m
Bedroom 1: 3.84m x 3.38m
Bedroom 2: 3.61m x 3.38m
Bedroom 3: 3.76m x 2.90m
Toilet 1: 2.46m x 1.52
Toilet 2: 2.24m x 1.22m",,"['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']","['Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Connectivity4.2 out of 5', 'Environment4.1 out of 5']"
2 BHK Flat in Baishnabghata Bye Lane,baisnabghata,0.35,4320.0,Carpet area: 810 (75.25 sq.m.),2.0,2,3+,not available,"Baishnabghata Bye Lane, Kolkata South, Kolkata",3,North-East,10+ Year Old,"['Kavi nazrul metro station', 'Sree Guru Sangha Main Gate', 'Sri Sri 108 Doyal Baba Asram', 'Sitala Temple', 'Gosto Mandir', 'Sitala mandir', 'Brahmapur Badamtala Jame Masjid', 'Lake Pally Shiv Mandir', 'Axis bank ATM', 'Icici bank ATM', 'Sbi ATM', 'Sevangan Medical Complex', 'BRWS Hospital', 'Garia Eye Clinic and Micro Surgery Centre', 'IRIS HOSPITAL', 'Kumar Surgical and Laparoscopic Clinic', 'Dakshinee Eye Foundation', 'Udayan Nursing Home', 'Baghajatin State General Hospital', 'Hindustan Health Point Pvt Ltd', 'Red Plus Society Nursing Home', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Lions North Kolkata Hospital and Medical Centre', 'Apex Institute Of Medical Sciences', 'Peerless Hospital and B.K.Roy Research Center', 'Sunetra Eye and Family Care Centre', 'Yubatirtha club', 'Apollo Pharmacy', 'Red Cross Society Medical Strore', 'IOCL Petrol Pump', 'Petrol pump', 'Axis bank', 'Axis bank', 'State bank of india brahmapur branch', 'Hdfc bank brahmapur branch', 'State bank of india bansdroni', 'Bank of baroda', 'Madhuban Cinema', 'Machhranga Airconditioned Multi Cuisine', 'Sandwiches', 'Cafe Coffee Day', 'Netaji Nagar College', 'Sammilani Mahavidyalaya', 'High Tension Laboratory', 'Electrical Engineering Department', 'Bagha jatin railway station', 'New garia railway station', 'Jadavpur railway station']","3bhk flat/apartment for sale in baisnabghata bye lane, near padmasree cinema, kolkata south, kolkataWelcome to your dream home! We are delighted to present this exquisite semi furnished 2bhk residential apartment situated in baisnabghata bye lane, near padmasree cinema, kolkata south.This meticulously designed apartment offers a perfect blend of style, comfort, and convenience for modern living.Property features:
Size and layout: Sprawling across a carpet area of 810 sqft, this 2bhk apartment provides ample space for a comfortable and spacious living experience.
 The thoughtfully planned layout encompasses a well-Defined living room,2 cozy bedrooms, a contemporary kitchen, 2 well-Appointed bathrooms, and 3 balconies. The living room is designed to be the heart of the home, offering an inviting space for relaxation and entertainment.
Natural lighting and ventilation: Large windows throughout the apartment ensure an abundance of natural light, creating a bright and airy atmosphere. Proper ventilation enhances airflow, maintaining a fresh and pleasant living environment.
Additional amenities: Maintenance staff, water storage, park, visitor parking, security / fire alarm, feng shui / vaastu compliant, intercom facility, lift(s), water purifier, park, natural light, airy rooms, spacious interiors, waste disposal, rain water harvesting.Don't miss this opportunity to make this semi-Furnished 2bhk apartment your new home. Wait no more and schedule a tour today.
For more details, kindly contact the owner.","['4 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Airy Rooms', 'Spacious Interiors']",
2 BHK Flat in Lake Gardens,lake gardens chs,0.5,6045.0,Carpet area: 827 (76.83 sq.m.),2.0,2,0,not available,"Inside Lake Window Housing, Lake Gardens, Kolkata South, Kolkata",0,South-East,10+ Year Old,"['Rabindra sarobar metro station', 'Lake Kalibari', 'Nipponzan Myohoji Buddhist Temple', 'State bank of india ATM', 'SilverLine Eye Hospital', 'hospoital', 'Jodhpur Park Nursing and Maternity Home Pvt Ltd', 'Cure Centre Nursing Home', 'Santosh Clinic', 'Shankarnath Dialysis Centre and Nursing Home', 'Sri Aurobindo Seva Kendra EEDF', 'Swiss Park Nursing Home', 'Medline Nursing Home', 'KD Cure S.C. Das Memorial Medical Center', 'CGHS Dispensary Lake Area', 'Amri Medical Centre', 'Mohan Clinic', 'Calcutta Lions Netra Niketan', 'Complete Care', 'RG Stone Urology And Laparoscopy Hospital Kolkata', 'Kottakkal Ayurvedic Hospital and Research Centre', 'Infirmary Orthopaedic Centre and Nursing Home', 'B.N Basu Memorial Clinic Appolo Nursing Home', 'RSV Hospital', 'Park Site Nursing Home', 'Himalaya Vision Care Centre', 'INOX South City', 'Indian bank', 'The Lighthouse Cafe', 'FORKSTRUCK', 'Burgers', 'Crossroad Cafe', 'Cakes', 'Tak Heng', 'Cafe Kathmandu', 'Steak Factory', 'Fillers', ""What's Cafe"", 'Bombay Kulfi', 'North & South', ""Captain's Deck Bar and Grill"", 'Ubuntu Community', '8th Day Cafe & Bakery', 'Cafe HQ', 'Zucca Lounge', 'Potboiler Coffee House', 'South City International School', 'Birla Academy of Fine Arts', 'Lake gardens railway station', 'Tollygunge railway station']","2bhk flat/apartment for sale in lake gardens chs, lake gardens, kolkata south, kolkataWelcome to your dream home! We are delighted to present this exquisite semi furnished 3bhk residential apartment situated in lake gardens chs, lake gardens, kolkata south, kolkata. This meticulously designed apartment offers a perfect blend of style, comfort, and convenience for modern living.Property features:
Size and layout: Sprawling across a carpet area of 827sqft, this 2bhk apartment provides ample space for a comfortable and spacious living experience.
 The thoughtfully planned layout encompasses a well-Defined living room,2 cozy bedrooms, a contemporary kitchen, 2 well-Appointed bathrooms. The living room is designed to be the heart of the home, offering an inviting space for relaxation and entertainment.
Prime location: This residential apartment is located in a highly sought-After neighborhood, known for its convenience and connectivity. Close proximity to schools, hospitals, shopping centers, and recreational facilities makes it an ideal choice for families. Well-Developed infrastructure and excellent transportation links provide easy access to major city destinations.Don't miss this opportunity to make 2bhk apartment your new home. Wait no more and schedule a tour today.
For more details, kindly contact the owner.",[],['Park'],"['Lifestyle3.8 out of 5', 'Safety4 out of 5', 'Connectivity4.1 out of 5', 'Environment4 out of 5']"
1 BHK Flat in Santragachi,lalit bhawan,0.1,2777.0,Carpet area: 360 (33.45 sq.m.),1.0,1,0,not available,"Santragachi, Kolkata West, Kolkata",0,East,1 to 5 Year Old,"['Radha Krishna Mandir', 'Shibtala Baroari Durga Temple', 'Satsang Vihar', 'Dinanta Ashar Kali Mandir', 'Lokenath Baba Mandir', 'Shiv Mandir', 'Ram Mondir', 'Podra More Durga Temple', 'Kali Temple', 'Durga Temple', 'Shiva Temple', '58 bus stand ATM', 'Smile Dental Care', 'Indus Nursing Home', 'Indus Nursing Home Pvt. Ltd.', 'Chokher Aloy', 'N H Narayana Multispeciality Hospital', 'CGHS Dispensary Santragachi', 'Palview Nursing Home', 'S.C. Bagchi Arogya Sadan Pvt.Ltd.', 'Bankra Hospital', 'South Howrah State General Hospital', 'Disha Eye Care', 'Nabanna Bus Stand', 'Sbi atm bank', 'Podra co-operative bank', 'NOXX', 'Fiesta', 'Podra Mahakali Vidyalaya', 'Santragachi junction railway station', 'Ramrajatala railway station', 'Banka nayabaz railway station', 'Padmapukur railway station', 'Mourigram railway station']","Looking for a 1 bhk property for sale in kolkata west? Buy this 1 bhk flat in lalit bhawan that is situated in santragachi, kolkata west. The flat is over 360 sq.Ft. Carpet area and comes with 1 bedroom(s), 1 bathroom . The property is located on the ground floor of a 3 floors tall building. This is a ready to move project and the property is 1-5 years old.","['1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '10 Light', '1 AC', '1 TV', '1 Chimney', '4 Wardrobe', 'No Bed', 'No Curtains', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Visitor Parking']","['Lifestyle3.8 out of 5', 'Safety4 out of 5', 'Connectivity4.2 out of 5', 'Environment3.8 out of 5']"
2 BHK Flat in Baguihati,"shovanalaya, joramandir",0.22,3577.0,Super Built up area 715(66.43 sq.m.)Carpet area: 615 sq.ft. (57.14 sq.m.),2.0,2,1,others,"H/i-33, Baguihati, Kolkata East, Kolkata",0,West,10+ Year Old,"['Dum dum metro station', 'Noapara metro station', 'Hanuman Mandir', 'Lichubagan Radha Krishna Temple', 'Sbi ATM', 'Dum Dum Eye Microsurgery Centre', 'Binayak Imaging And Diagnostic Pvt Ltd', 'New Saraju Nursing Home', 'Astha Medical Services Pvt Ltd', 'The May Fair Hospital', 'Saraju Nursing Home', 'Dr. Syamal Kumar Pandey', 'Des Nursing Home', 'Critical and Trauma Care Hospital', 'EVES Clinic Nursing Home', 'Baranagar State General Hospital', 'Narayana Hrudayalaya Eye Clinic', 'Nayan Jyoti Eye Care Centre', 'CGHS Dispensary Lake-Town', 'Paradise Nursing Home Kolkata', 'Paikpara', '4B Bus Stand', 'Indian Oil', 'Nagerbazar nursery', 'Domino Pizza', 'Cafe Cofee Day', 'Momozing', 'My Little Kitchen', 'Prachya Bani Mondir for Boys', 'Indian Statistical Institute', 'Sarada Vidyapith', 'Dum dum junction railway station', 'Tala railway station', 'Patipukur railway station', 'Kolkata chitpur railway station']","Location. It is 3 mins walking from joramandir bus stop on vip road. Very near to salt lake, airport and new town. Markets, hospitals, transports all are at accessible distances.
 Additional details :No power backup is available.",,['Water Storage'],
2 BHK Flat in Bangur,maa sarada apartment bangur,0.38,4750.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,not available,"Bangur, Kolkata North, Kolkata",3,South,5 to 10 Year Old,"['Hanuman Mandir', 'The Church of Jesus Christ of Latter-day Saints', 'Lichubagan Radha Krishna Temple', 'Sbi ATM', 'State bank of india ATM', 'Allahabad bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'bangur medical center', 'Alokon Eye Care Pvt. Ltd.', 'Health Cure Nursing Home', 'Udichi ENT and Head Neck Center', 'CGHS Dispensary Lake-Town', 'Dafodil Hospitals', 'Aditya Hospital', 'CGHS Dispensary Salt-Lake AF', 'Anandalok Polyclinic', 'Narayana Hrudayalaya Eye Clinic', 'Nayan Jyoti Eye Care Centre', 'Bidhannagar State General Hospital', 'Seba Hospital', 'Seba', ""Dr Paul's Clinic"", 'Bidhannagar Sub-Divisional Hospital', 'Suraksha Diagnostic', 'EVES Clinic Nursing Home', 'Salt Lake Sub-divisional Hospital', 'Salt Lake City Medical Centre', 'Vasan Eye Care Hospital Kolkata', ""BF block Residents' Association"", 'Nirman Community Center', 'Nagerbazar nursery', 'PVR', 'Aqua Java Air', 'KFC', 'New Rajkumar Sweets', 'Momozing', 'My Little Kitchen', 'Cafe Cofee Day', 'Oudh 1590', ""Santa's Fantasea"", 'Momo I Am', '6 Ballygunge Place', 'Sarada Vidyapith', 'Maulana Abul Kalam Azad University of Technology', 'West Bengal University of Technology', 'Prachya Bani Mondir for Boys', 'Salt Lake Collegiate School', 'Aliah University', 'Patipukur railway station']","Location: Bangur avenue block a, close to bangur main road
Super build up area - 800 sqft
2 bedrooms, hall, kitchen, 2 bath, 1 balcony
3rd floor (One more floor above this flat)
Unfurnished
Building has lift, security
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff']","['Lifestyle4.2 out of 5', 'Safety3.9 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
3 BHK Flat in Haltu,pabitra apartment,0.63,5040.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3.0,2,1,not available,"Haltu, Kolkata South, Kolkata",3,North-West,5 to 10 Year Old,"['Hari Sava.Lord Krishna Temple', 'Old Radha Krishna Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Lord Shiva Temple', 'Hindu Temple', 'Maa Kali mandir', 'Shoni thakur mandir', 'Maa kali temple', 'Viveknagar Kalibari', 'Lake Pally Shiv Mandir', 'State bank of india ATM', 'Axis bank ATM', 'Amrapali Medical Center and Nursing Home Pvt Ltd', 'Calcutta Institute Of Maxill Ofacial Surgery and R', 'Dr. Agarwals Eye Hospital', 'A.H.IVF and Infertility Research Centre Ltd', 'Revival Nursing Home', 'Disha Eye Care Center', 'Dhakuria Sree Ramkrishna Sebasram', 'Dr. Mina Majumder Seva Mandir Pvt. Ltd', 'Aditya Birla Sankara Nethralaya', 'Cancer Hospital', 'Acharya Srimat Yogesh Brahmachari Charitable Eye Clinic', 'Frank Ross Pharmacy', 'Lokenath Medical Shop', 'Hdfc bank', 'State bank of india jadavpur stadium branch', 'Bandhan bank', 'Icici bank', 'Cinepolis', ""Harvey's"", 'Boudir Hotel', 'Naushijaan', ""Chili's"", 'Thali', 'Ozora', 'Spice Of Joy', 'Red chilli', 'RD Memorial School', 'Adarsha Balika Shikshayatan', 'Shishu Siksha Niketan', 'Jadavpur N.K. Pal Adarsha Sikshayatan', 'Jadavpur University', 'Dhakuria railway station', 'Jadavpur railway station', 'Ballygunge junction railway station', 'Dhakuria public library']","Situated in haltu, kolkata south, pabitra apartment is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in kolkata south is your opportunity to be a part of this community. The flat is north-West-Facing. The flat is over 1200 sq.Ft. Built up area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 4 floors and this property is situated on 3rd floor. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. The marble flooring of this flat is beautifully designed and helps to give it a pleasing look. Pabitra apartment is designed very well to provide modern facilities such as maintenance staff. The project provides access to clean water through municipal corporation and borewell/tank supply.","['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No Bed', 'No Fan', 'No Geyser', 'No Light', 'No TV']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Waste Disposal']","['Lifestyle4 out of 5', 'Safety4.2 out of 5', 'Connectivity4 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Briji,chandroprova apartments,0.55,8333.0,Super Built up area 880(81.75 sq.m.)Carpet area: 660 sq.ft. (61.32 sq.m.),2.0,2,1,not available,"22/7/1 Pranabananda Road, Garia, Briji, Kolkata South, Kolkata",3,South,10+ Year Old,"['Shahid khudiram metro station', 'Kavi nazrul metro station', 'Kavi subhash metro station', 'Sitala mandir', 'Gosto Mandir', 'Sree Guru Sangha Main Gate', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Sri Sri 108 Doyal Baba Asram', 'Bikram mess kali mandir', 'Sitala Temple', 'Durga mandir', 'Brahmapur Badamtala Jame Masjid', 'Lake Pally Shiv Mandir', 'Icici bank ATM', 'Sbi ATM', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Garia Eye Clinic and Micro Surgery Centre', 'Hindustan Health Point Pvt Ltd', 'BRWS Hospital', 'Sevangan Medical Complex', 'Peerless Hospital and B.K.Roy Research Center', 'Namita Biswas Memorial Eye Hospital', 'Red Plus Society Nursing Home', 'IRIS HOSPITAL', 'Apex Institute Of Medical Sciences', 'Dakshinee Eye Foundation', 'Baghajatin State General Hospital', 'Sunetra Eye and Family Care Centre', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Kumar Surgical and Laparoscopic Clinic', 'Udayan Nursing Home', 'Yubatirtha club', 'Red Cross Society Medical Strore', 'Petrol pump', 'Axis bank', 'Axis bank', 'Hdfc bank brahmapur branch', 'State bank of india brahmapur branch', 'Bank of baroda', 'State bank of india bansdroni', 'Machhranga Airconditioned Multi Cuisine', 'Cafe Coffee Day', 'Neils Kitchen', 'Sandwiches', 'Sammilani Mahavidyalaya', 'New garia railway station', 'Garia railway station', 'Bagha jatin railway station']","5 minutes from kavi nazrul metro (Garia bazar) and 10
Minutes from em bypass","['4 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '10 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff']",
3 BHK Flat in Rajarhat,siddha happyville,0.82,6492.0,Super Built up area 1263(117.34 sq.m.),3.0,2,1,not available,"Oe-1903, Rajarhat, Kolkata East, Kolkata",19,East,1 to 5 Year Old,"['Tollygunge Metro', 'City Centre Salt Lake', 'Rajarhat Main Rd', 'St. Andrews Public School', 'JIS University', 'Good Samaritan Hospital', 'Kolkata Airport', 'Sealdah railway station']","A beautiful 3 bhk for sale at the 19th (Topmost) floor of one of the most happening projects in rajarhat, siddha happyville.The entire apartment is ready to move in and can be decorated according to the buyer's preferences. The flat is up for sale in a raw format as is handed over by the builder.Features :3 spacious bedrooms
2 bathrooms (1 common bathroom, another attached with master bedroom)
1 huge living room cum dining hall
1 spacious balcony with a stunning view
1 kitchen with attached utilityFittings :All rooms have outlets and points for ac and ceiling fans. 
Kitchen have outlets for water purifier, microwave, refrigerator and geyser for sink
All rooms are equipped with fire detectors and sprinklers incase of emergency
Bathrooms are equipped with high quality bath fittings and outlet for geysers.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']","['Connectivity3.8 out of 5', 'Amenities4.2 out of 5', 'Construction3.9 out of 5', 'Green Area3.7 out of 5', 'Management3.7 out of 5']"
