society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,Direction
simoco sanhita housing complex,0.27,bhangar,3857.0,Super Built up area 916(85.1 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),3.0,2,1,not available,2,,0 to 1 Year Old,,,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Waste Disposal', 'Club house / Community Center']",West
team taurus kabya,0.52,rajarhat,3729.0,Super Built up area 1287(119.57 sq.m.),3.0,2,2,not available,2,,0 to 1 Year Old,"['Dharmaraj Temple', 'Kali Mandir', 'Mukherjee Barir Durgadalan', 'Rekjoani Shitala Mandir', 'Kali Temple', 'Kali mandir', 'Manasha Mandir', 'Rajarhat Police Station Kali Temple', 'Radha Krishna Mandir', 'Kanjialpara Shani Mandir', 'Kali Mandir', 'Shreeramkhan Kali Bari Temple', 'Hanuman Mandir', 'Rajarhat Shitala Kali Temple', 'Krishna Mandir', 'Badamtala Shib Mandir', 'Dakbunglow Shani Kali Mandir', 'Masjid', 'Nathpara Shib Mandir', 'Nathpara Temple', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Netram Eye Hospital', 'Geetanjali IT Park', 'Airport Bus Stand lines VS1', 'Indian Oil', 'Stash Cafe', 'KATHI JUNCTION', 'Amity University', 'Aliah University']",,"['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']",East
baisnabghata,0.35,garia,4320.0,Carpet area: 810 (75.25 sq.m.),2.0,2,3+,not available,3,North-East,10+ Year Old,"['Kavi nazrul metro station', 'Sree Guru Sangha Main Gate', 'Sri Sri 108 Doyal Baba Asram', 'Sitala Temple', 'Gosto Mandir', 'Sitala mandir', 'Brahmapur Badamtala Jame Masjid', 'Lake Pally Shiv Mandir', 'Axis bank ATM', 'Icici bank ATM', 'Sbi ATM', 'Sevangan Medical Complex', 'BRWS Hospital', 'Garia Eye Clinic and Micro Surgery Centre', 'IRIS HOSPITAL', 'Kumar Surgical and Laparoscopic Clinic', 'Dakshinee Eye Foundation', 'Udayan Nursing Home', 'Baghajatin State General Hospital', 'Hindustan Health Point Pvt Ltd', 'Red Plus Society Nursing Home', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Lions North Kolkata Hospital and Medical Centre', 'Apex Institute Of Medical Sciences', 'Peerless Hospital and B.K.Roy Research Center', 'Sunetra Eye and Family Care Centre', 'Yubatirtha club', 'Apollo Pharmacy', 'Red Cross Society Medical Strore', 'IOCL Petrol Pump', 'Petrol pump', 'Axis bank', 'Axis bank', 'State bank of india brahmapur branch', 'Hdfc bank brahmapur branch', 'State bank of india bansdroni', 'Bank of baroda', 'Madhuban Cinema', 'Machhranga Airconditioned Multi Cuisine', 'Sandwiches', 'Cafe Coffee Day', 'Netaji Nagar College', 'Sammilani Mahavidyalaya', 'High Tension Laboratory', 'Electrical Engineering Department', 'Bagha jatin railway station', 'New garia railway station', 'Jadavpur railway station']","['4 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Airy Rooms', 'Spacious Interiors']",South
lake gardens chs,0.5,lake gardens,6045.0,Carpet area: 827 (76.83 sq.m.),2.0,2,0,not available,0,South-East,10+ Year Old,"['Rabindra sarobar metro station', 'Lake Kalibari', 'Nipponzan Myohoji Buddhist Temple', 'State bank of india ATM', 'SilverLine Eye Hospital', 'hospoital', 'Jodhpur Park Nursing and Maternity Home Pvt Ltd', 'Cure Centre Nursing Home', 'Santosh Clinic', 'Shankarnath Dialysis Centre and Nursing Home', 'Sri Aurobindo Seva Kendra EEDF', 'Swiss Park Nursing Home', 'Medline Nursing Home', 'KD Cure S.C. Das Memorial Medical Center', 'CGHS Dispensary Lake Area', 'Amri Medical Centre', 'Mohan Clinic', 'Calcutta Lions Netra Niketan', 'Complete Care', 'RG Stone Urology And Laparoscopy Hospital Kolkata', 'Kottakkal Ayurvedic Hospital and Research Centre', 'Infirmary Orthopaedic Centre and Nursing Home', 'B.N Basu Memorial Clinic Appolo Nursing Home', 'RSV Hospital', 'Park Site Nursing Home', 'Himalaya Vision Care Centre', 'INOX South City', 'Indian bank', 'The Lighthouse Cafe', 'FORKSTRUCK', 'Burgers', 'Crossroad Cafe', 'Cakes', 'Tak Heng', 'Cafe Kathmandu', 'Steak Factory', 'Fillers', ""What's Cafe"", 'Bombay Kulfi', 'North & South', ""Captain's Deck Bar and Grill"", 'Ubuntu Community', '8th Day Cafe & Bakery', 'Cafe HQ', 'Zucca Lounge', 'Potboiler Coffee House', 'South City International School', 'Birla Academy of Fine Arts', 'Lake gardens railway station', 'Tollygunge railway station']",[],['Park'],South
lalit bhawan,0.1,santragachi,2777.0,Carpet area: 360 (33.45 sq.m.),1.0,1,0,not available,0,East,1 to 5 Year Old,"['Radha Krishna Mandir', 'Shibtala Baroari Durga Temple', 'Satsang Vihar', 'Dinanta Ashar Kali Mandir', 'Lokenath Baba Mandir', 'Shiv Mandir', 'Ram Mondir', 'Podra More Durga Temple', 'Kali Temple', 'Durga Temple', 'Shiva Temple', '58 bus stand ATM', 'Smile Dental Care', 'Indus Nursing Home', 'Indus Nursing Home Pvt. Ltd.', 'Chokher Aloy', 'N H Narayana Multispeciality Hospital', 'CGHS Dispensary Santragachi', 'Palview Nursing Home', 'S.C. Bagchi Arogya Sadan Pvt.Ltd.', 'Bankra Hospital', 'South Howrah State General Hospital', 'Disha Eye Care', 'Nabanna Bus Stand', 'Sbi atm bank', 'Podra co-operative bank', 'NOXX', 'Fiesta', 'Podra Mahakali Vidyalaya', 'Santragachi junction railway station', 'Ramrajatala railway station', 'Banka nayabaz railway station', 'Padmapukur railway station', 'Mourigram railway station']","['1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '10 Light', '1 AC', '1 TV', '1 Chimney', '4 Wardrobe', 'No Bed', 'No Curtains', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Visitor Parking']",West
"shovanalaya, joramandir",0.22,baguiati,3577.0,Super Built up area 715(66.43 sq.m.)Carpet area: 615 sq.ft. (57.14 sq.m.),2.0,2,1,others,0,West,10+ Year Old,"['Dum dum metro station', 'Noapara metro station', 'Hanuman Mandir', 'Lichubagan Radha Krishna Temple', 'Sbi ATM', 'Dum Dum Eye Microsurgery Centre', 'Binayak Imaging And Diagnostic Pvt Ltd', 'New Saraju Nursing Home', 'Astha Medical Services Pvt Ltd', 'The May Fair Hospital', 'Saraju Nursing Home', 'Dr. Syamal Kumar Pandey', 'Des Nursing Home', 'Critical and Trauma Care Hospital', 'EVES Clinic Nursing Home', 'Baranagar State General Hospital', 'Narayana Hrudayalaya Eye Clinic', 'Nayan Jyoti Eye Care Centre', 'CGHS Dispensary Lake-Town', 'Paradise Nursing Home Kolkata', 'Paikpara', '4B Bus Stand', 'Indian Oil', 'Nagerbazar nursery', 'Domino Pizza', 'Cafe Cofee Day', 'Momozing', 'My Little Kitchen', 'Prachya Bani Mondir for Boys', 'Indian Statistical Institute', 'Sarada Vidyapith', 'Dum dum junction railway station', 'Tala railway station', 'Patipukur railway station', 'Kolkata chitpur railway station']",,['Water Storage'],East
maa sarada apartment bangur,0.38,bangur,4750.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,not available,3,South,5 to 10 Year Old,"['Hanuman Mandir', 'The Church of Jesus Christ of Latter-day Saints', 'Lichubagan Radha Krishna Temple', 'Sbi ATM', 'State bank of india ATM', 'Allahabad bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'bangur medical center', 'Alokon Eye Care Pvt. Ltd.', 'Health Cure Nursing Home', 'Udichi ENT and Head Neck Center', 'CGHS Dispensary Lake-Town', 'Dafodil Hospitals', 'Aditya Hospital', 'CGHS Dispensary Salt-Lake AF', 'Anandalok Polyclinic', 'Narayana Hrudayalaya Eye Clinic', 'Nayan Jyoti Eye Care Centre', 'Bidhannagar State General Hospital', 'Seba Hospital', 'Seba', ""Dr Paul's Clinic"", 'Bidhannagar Sub-Divisional Hospital', 'Suraksha Diagnostic', 'EVES Clinic Nursing Home', 'Salt Lake Sub-divisional Hospital', 'Salt Lake City Medical Centre', 'Vasan Eye Care Hospital Kolkata', ""BF block Residents' Association"", 'Nirman Community Center', 'Nagerbazar nursery', 'PVR', 'Aqua Java Air', 'KFC', 'New Rajkumar Sweets', 'Momozing', 'My Little Kitchen', 'Cafe Cofee Day', 'Oudh 1590', ""Santa's Fantasea"", 'Momo I Am', '6 Ballygunge Place', 'Sarada Vidyapith', 'Maulana Abul Kalam Azad University of Technology', 'West Bengal University of Technology', 'Prachya Bani Mondir for Boys', 'Salt Lake Collegiate School', 'Aliah University', 'Patipukur railway station']",,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff']",North
pabitra apartment,0.63,haltu,5040.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3.0,2,1,not available,3,North-West,5 to 10 Year Old,"['Hari Sava.Lord Krishna Temple', 'Old Radha Krishna Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Lord Shiva Temple', 'Hindu Temple', 'Maa Kali mandir', 'Shoni thakur mandir', 'Maa kali temple', 'Viveknagar Kalibari', 'Lake Pally Shiv Mandir', 'State bank of india ATM', 'Axis bank ATM', 'Amrapali Medical Center and Nursing Home Pvt Ltd', 'Calcutta Institute Of Maxill Ofacial Surgery and R', 'Dr. Agarwals Eye Hospital', 'A.H.IVF and Infertility Research Centre Ltd', 'Revival Nursing Home', 'Disha Eye Care Center', 'Dhakuria Sree Ramkrishna Sebasram', 'Dr. Mina Majumder Seva Mandir Pvt. Ltd', 'Aditya Birla Sankara Nethralaya', 'Cancer Hospital', 'Acharya Srimat Yogesh Brahmachari Charitable Eye Clinic', 'Frank Ross Pharmacy', 'Lokenath Medical Shop', 'Hdfc bank', 'State bank of india jadavpur stadium branch', 'Bandhan bank', 'Icici bank', 'Cinepolis', ""Harvey's"", 'Boudir Hotel', 'Naushijaan', ""Chili's"", 'Thali', 'Ozora', 'Spice Of Joy', 'Red chilli', 'RD Memorial School', 'Adarsha Balika Shikshayatan', 'Shishu Siksha Niketan', 'Jadavpur N.K. Pal Adarsha Sikshayatan', 'Jadavpur University', 'Dhakuria railway station', 'Jadavpur railway station', 'Ballygunge junction railway station', 'Dhakuria public library']","['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No Bed', 'No Fan', 'No Geyser', 'No Light', 'No TV']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Waste Disposal']",South
chandroprova apartments,0.55,garia,8333.0,Super Built up area 880(81.75 sq.m.)Carpet area: 660 sq.ft. (61.32 sq.m.),2.0,2,1,not available,3,South,10+ Year Old,"['Shahid khudiram metro station', 'Kavi nazrul metro station', 'Kavi subhash metro station', 'Sitala mandir', 'Gosto Mandir', 'Sree Guru Sangha Main Gate', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Sri Sri 108 Doyal Baba Asram', 'Bikram mess kali mandir', 'Sitala Temple', 'Durga mandir', 'Brahmapur Badamtala Jame Masjid', 'Lake Pally Shiv Mandir', 'Icici bank ATM', 'Sbi ATM', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Garia Eye Clinic and Micro Surgery Centre', 'Hindustan Health Point Pvt Ltd', 'BRWS Hospital', 'Sevangan Medical Complex', 'Peerless Hospital and B.K.Roy Research Center', 'Namita Biswas Memorial Eye Hospital', 'Red Plus Society Nursing Home', 'IRIS HOSPITAL', 'Apex Institute Of Medical Sciences', 'Dakshinee Eye Foundation', 'Baghajatin State General Hospital', 'Sunetra Eye and Family Care Centre', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Kumar Surgical and Laparoscopic Clinic', 'Udayan Nursing Home', 'Yubatirtha club', 'Red Cross Society Medical Strore', 'Petrol pump', 'Axis bank', 'Axis bank', 'Hdfc bank brahmapur branch', 'State bank of india brahmapur branch', 'Bank of baroda', 'State bank of india bansdroni', 'Machhranga Airconditioned Multi Cuisine', 'Cafe Coffee Day', 'Neils Kitchen', 'Sandwiches', 'Sammilani Mahavidyalaya', 'New garia railway station', 'Garia railway station', 'Bagha jatin railway station']","['4 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '10 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff']",South
siddha happyville,0.82,rajarhat,6492.0,Super Built up area 1263(117.34 sq.m.),3.0,2,1,not available,19,East,1 to 5 Year Old,"['Tollygunge Metro', 'City Centre Salt Lake', 'Rajarhat Main Rd', 'St. Andrews Public School', 'JIS University', 'Good Samaritan Hospital', 'Kolkata Airport', 'Sealdah railway station']",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",East
