society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
simoco sanhita housing complex,0.27,bhangar,3857.0,Super Built up area 916(85.1 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),3.0,2,1,2,,New Property,West,916.0,,700.0,0,0,0,0,0,0,100.0
team taurus kabya,0.52,rajarhat,3729.0,Super Built up area 1287(119.57 sq.m.),3.0,2,2,2,,New Property,East,1287.0,,,0,0,0,0,0,0,43.0
baisnabghata,0.35,garia,4320.0,Carpet area: 810 (75.25 sq.m.),2.0,2,3+,3,North-East,Old Property,South,,,810.0,0,0,0,0,0,2,40.0
lake gardens chs,0.5,lake gardens,6045.0,Carpet area: 827 (76.83 sq.m.),2.0,2,0,0,South-East,Old Property,South,,,827.0,0,0,0,0,0,0,8.0
lalit bhawan,0.1,santragachi,2777.0,Carpet area: 360 (33.45 sq.m.),1.0,1,0,0,East,Relatively New,West,,,360.0,0,0,0,0,0,2,13.0
"shovanalaya, joramandir",0.22,baguiati,3577.0,Super Built up area 715(66.43 sq.m.)Carpet area: 615 sq.ft. (57.14 sq.m.),2.0,2,1,0,West,Old Property,East,715.0,,615.0,0,0,0,0,1,0,6.0
maa sarada apartment bangur,0.38,bangur,4750.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,3,South,Moderately Old,North,800.0,,,0,0,0,0,0,0,20.0
pabitra apartment,0.63,haltu,5040.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3.0,2,1,3,North-West,Moderately Old,South,,1300.0,1250.0,0,0,0,0,0,1,31.0
chandroprova apartments,0.55,garia,8333.0,Super Built up area 880(81.75 sq.m.)Carpet area: 660 sq.ft. (61.32 sq.m.),2.0,2,1,3,South,Old Property,South,880.0,,660.0,0,0,0,0,0,2,13.0
siddha happyville,0.82,rajarhat,6492.0,Super Built up area 1263(117.34 sq.m.),3.0,2,1,19,East,Relatively New,East,1263.0,,,0,0,0,0,0,0,97.0
forum footprints,10.02,ballygunge,34104.0,Carpet area: 2938 (272.95 sq.m.),4.0,4,2,3,,New Property,South,,,2938.0,0,0,0,0,0,0,71.0
rishi enclave apartment,0.36,rajarhat,3735.0,Super Built up area 977(90.77 sq.m.),2.0,2,2,6,South-East,Old Property,East,977.0,,,0,0,0,0,0,0,87.0
lake view apartment,0.6,mahamayatala,4379.0,Super Built up area 1370(127.28 sq.m.),3.0,2,1,1,South-East,Moderately Old,South,1370.0,,,0,0,0,0,0,2,28.0
sugam serenity,0.4,sonarpur,4285.0,Super Built up area 980(91.04 sq.m.),2.0,2,1,1,,Relatively New,South,980.0,,,0,0,0,0,0,0,66.0
hiland calcutta riverside,0.2,maheshtala,4474.0,Super Built up area 712(66.15 sq.m.)Carpet area: 447 sq.ft. (41.53 sq.m.),2.0,2,1,3,South-West,Relatively New,South,712.0,,447.0,0,0,0,0,0,0,85.0
aakansha apartment,0.45,tollygunge,5056.0,Carpet area: 890 (82.68 sq.m.),3.0,1,1,1,,Moderately Old,South,,,890.0,0,0,0,0,0,0,13.0
mani vista,2.72,tollygunge,21570.0,Super Built up area 1925(178.84 sq.m.)Built Up area: 1432 sq.ft. (133.04 sq.m.)Carpet area: 1261 sq.ft. (117.15 sq.m.),3.0,3,1,28,,New Property,South,1925.0,1432.0,1261.0,0,1,0,0,0,0,35.0
sahanagar chs,0.38,kalighat,7916.0,Super Built up area 600(55.74 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),2.0,2,2,1,South-East,Under Construction,South,600.0,,480.0,0,0,0,0,0,0,6.0
