society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
simoco sanhita housing complex,0.27,bhangar,3857.0,700.0,Super Built up area 916(85.1 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),3.0,2,1,2,,New Property,West,916.0,,700.0,0,0,0,0,0,0,100.0
team taurus kabya,0.52,rajarhat,3729.0,1394.0,Super Built up area 1287(119.57 sq.m.),3.0,2,2,2,,New Property,East,1287.0,,,0,0,0,0,0,0,43.0
"shovanalaya, joramandir",0.22,baguiati,3577.0,615.0,Super Built up area 715(66.43 sq.m.)Carpet area: 615 sq.ft. (57.14 sq.m.),2.0,2,1,0,West,Old Property,East,715.0,,615.0,0,0,0,0,1,0,6.0
maa sarada apartment bangur,0.38,bangur,4750.0,800.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,3,South,Moderately Old,North,800.0,,,0,0,0,0,0,0,20.0
chandroprova apartments,0.55,garia,8333.0,660.0,Super Built up area 880(81.75 sq.m.)Carpet area: 660 sq.ft. (61.32 sq.m.),2.0,2,1,3,South,Old Property,South,880.0,,660.0,0,0,0,0,0,2,13.0
siddha happyville,0.82,rajarhat,6492.0,1263.0,Super Built up area 1263(117.34 sq.m.),3.0,2,1,19,East,Relatively New,East,1263.0,,,0,0,0,0,0,0,97.0
rishi enclave apartment,0.36,rajarhat,3735.0,964.0,Super Built up area 977(90.77 sq.m.),2.0,2,2,6,South-East,Old Property,East,977.0,,,0,0,0,0,0,0,87.0
lake view apartment,0.6,mahamayatala,4379.0,1370.0,Super Built up area 1370(127.28 sq.m.),3.0,2,1,1,South-East,Moderately Old,South,1370.0,,,0,0,0,0,0,2,28.0
sugam serenity,0.4,sonarpur,4285.0,933.0,Super Built up area 980(91.04 sq.m.),2.0,2,1,1,,Relatively New,South,980.0,,,0,0,0,0,0,0,66.0
hiland calcutta riverside,0.2,maheshtala,4474.0,447.0,Super Built up area 712(66.15 sq.m.)Carpet area: 447 sq.ft. (41.53 sq.m.),2.0,2,1,3,South-West,Relatively New,South,712.0,,447.0,0,0,0,0,0,0,85.0
mani vista,2.72,tollygunge,21570.0,1261.0,Super Built up area 1925(178.84 sq.m.)Built Up area: 1432 sq.ft. (133.04 sq.m.)Carpet area: 1261 sq.ft. (117.15 sq.m.),3.0,3,1,28,,New Property,South,1925.0,1432.0,1261.0,0,1,0,0,0,0,35.0
sahanagar chs,0.38,kalighat,7916.0,480.0,Super Built up area 600(55.74 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),2.0,2,2,1,South-East,Under Construction,South,600.0,,480.0,0,0,0,0,0,0,6.0
primarc southwinds,0.72,em bypass,6521.0,1104.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,1,,New Property,South,1150.0,,,0,0,0,0,0,0,0.0
mj moti kunj,0.7,tollygunge,6862.0,1020.0,Super Built up area 1020(94.76 sq.m.),3.0,2,1,2,South-East,Old Property,South,1020.0,,,0,0,0,0,0,2,97.0
panihati pride,0.28,panihati,2750.0,1018.0,Super Built up area 1023(95.04 sq.m.),3.0,2,1,3,South-West,Under Construction,North,1023.0,,,0,0,0,0,0,0,19.0
bellagio lvl nxt,1.02,rajarhat,4689.0,2175.0,Super Built up area 2239(208.01 sq.m.),4.0,4,3,3,South-East,New Property,East,2239.0,,,0,0,0,0,0,0,72.0
signum windmere,0.41,madhyamgram,4363.0,940.0,Super Built up area 951(88.35 sq.m.),2.0,2,1,11,South-East,New Property,North,951.0,,,0,0,0,0,0,0,148.0
onex privy,3.25,kalighat,15011.0,2165.0,Super Built up area 2165(201.14 sq.m.),4.0,3,1,1,,Relatively New,South,2165.0,,,0,0,0,0,0,0,52.0
srijoyee,0.35,mukundapur,4052.0,864.0,Super Built up area 925(85.94 sq.m.),2.0,2,1,1,South,Moderately Old,South,925.0,,,0,0,0,0,0,0,0.0
hiland greens,0.35,maheshtala,5239.0,668.0,Super Built up area 1060(98.48 sq.m.)Built Up area: 820 sq.ft. (76.18 sq.m.)Carpet area: 668 sq.ft. (62.06 sq.m.),3.0,2,1,13,South-East,Relatively New,South,1060.0,820.0,668.0,0,0,0,0,0,0,85.0
aster gardens,0.5,rajarhat,4835.0,1034.0,Super Built up area 1034(96.06 sq.m.),3.0,2,1,1,South-West,Relatively New,East,1034.0,,,0,0,0,0,0,2,141.0
madhavi manjuri,0.37,behala,4302.0,860.0,Super Built up area 1085(100.8 sq.m.)Carpet area: 860 sq.ft. (79.9 sq.m.),3.0,2,1,3,,New Property,South,1085.0,,860.0,0,0,0,0,0,0,5.0
sananda apartment,0.26,ch,3363.0,773.0,Super Built up area 892(82.87 sq.m.)Built Up area: 716 sq.ft. (66.52 sq.m.)Carpet area: 680 sq.ft. (63.17 sq.m.),3.0,2,1,4,,Relatively New,West,892.0,716.0,680.0,0,0,0,0,0,2,7.0
sucasa twins,0.41,sonarpur,3489.0,1175.0,Super Built up area 1175(109.16 sq.m.),3.0,2,1,5,,Relatively New,South,1175.0,,,0,0,0,0,0,0,0.0
pramila niwas apartment,0.28,kumrakhali,3608.0,776.0,Super Built up area 776(72.09 sq.m.),2.0,2,1,3,South-East,Moderately Old,South,776.0,,,0,0,0,0,0,0,12.0
perfect sharanya enclave,0.6,rajarhat,4777.0,1256.0,Super Built up area 1256(116.69 sq.m.),3.0,2,1,3,South-West,Relatively New,East,1256.0,,,0,0,0,0,0,0,0.0
apartment,1.75,em bypass,10472.0,1671.0,Super Built up area 1671(155.24 sq.m.),3.0,2,1,8,,Relatively New,South,1671.0,,,0,0,0,0,0,1,0.0
salarpuria pearl,0.75,bablatala,4780.0,1569.0,Super Built up area 1569(145.76 sq.m.),3.0,2,2,4,,Moderately Old,East,1569.0,,,0,1,0,0,0,0,105.0
on request,0.6,baguiati,6086.0,986.0,Super Built up area 1150(106.84 sq.m.),2.0,2,2,4,,Moderately Old,North,1150.0,,,0,0,0,0,0,0,0.0
merlin maximus,0.6,sodepur,7142.0,840.0,Super Built up area 840(78.04 sq.m.)Built Up area: 633 sq.ft. (58.81 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),2.0,2,1,1,South-West,Relatively New,North,840.0,633.0,450.0,0,0,0,0,0,2,54.0
dtc southern heights,0.69,joka,5036.0,1370.0,Super Built up area 1370(127.28 sq.m.)Built Up area: 1096 sq.ft. (101.82 sq.m.),3.0,3,2,2,South,New Property,South,1370.0,1096.0,,0,0,0,0,0,0,97.0
eden city maheshtala,0.45,maheshtala,3268.0,1377.0,Super Built up area 1377(127.93 sq.m.),3.0,2,1,7,,Moderately Old,South,1377.0,,,0,0,0,0,0,0,100.0
tara maa apartment,0.45,bansdroni,3750.0,1200.0,Super Built up area 1200(111.48 sq.m.),3.0,2,0,3,,Moderately Old,South,1200.0,,,0,0,0,0,0,0,0.0
hiland park,1.22,em bypass,9186.0,1328.0,Super Built up area 1328(123.38 sq.m.),3.0,2,1,21,,Old Property,South,1328.0,,,0,0,0,0,0,0,80.0
diganta,0.75,em bypass,4915.0,1526.0,Super Built up area 1424(132.29 sq.m.)Built Up area: 1276 sq.ft. (118.54 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3.0,2,1,2,South-East,Moderately Old,South,1424.0,1276.0,1150.0,0,0,0,0,1,0,45.0
laxmi apartment,0.3,barasat,3241.0,926.0,Super Built up area 1018(94.58 sq.m.),3.0,2,1,4,,Moderately Old,North,1018.0,,,0,0,0,0,0,0,0.0
paharpur genexx valley,0.5,thakurpukur,4045.0,1236.0,Super Built up area 1236(114.83 sq.m.),3.0,2,2,2,South,Moderately Old,South,1236.0,,,1,0,0,0,0,2,173.0
bengal shelter sisirkunja,0.45,madhyamgram,3827.0,1176.0,Super Built up area 1045(97.08 sq.m.),3.0,2,2,7,East,Moderately Old,North,1045.0,,,0,0,0,0,1,0,80.0
kalikapur,0.38,kalikapur,4375.0,869.0,Super Built up area 800(74.32 sq.m.),1.0,2,1,2,South-East,Moderately Old,South,800.0,,,0,0,0,0,0,0,6.0
