society,price,place,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
"shovanalaya, joramandir",0.22,baguiati,3577.0,2.0,2.0,1,0.0,West,Old Property,East,653.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
maa sarada apartment bangur,0.38,bangur,4750.0,2.0,2.0,1,3.0,South,Moderately Old,North,684.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
chandroprova apartments,0.55,garia,8333.0,2.0,2.0,1,3.0,South,Old Property,South,749.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0
siddha happyville,0.82,rajarhat,6492.0,3.0,2.0,1,19.0,East,Relatively New,East,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
rishi enclave apartment,0.36,rajarhat,3735.0,2.0,2.0,2,6.0,South-East,Old Property,East,836.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
lake view apartment,0.6,mahamayatala,4379.0,3.0,2.0,1,1.0,South-East,Moderately Old,South,1172.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0
hiland calcutta riverside,0.2,maheshtala,4474.0,2.0,2.0,1,3.0,South-West,Relatively New,South,557.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
sahanagar chs,0.38,kalighat,7916.0,2.0,2.0,2,1.0,South-East,Under Construction,South,528.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
mj moti kunj,0.7,tollygunge,6862.0,3.0,2.0,1,2.0,South-East,Old Property,South,873.0,0.0,0.0,0.0,0.0,0.0,2.0,97.0
panihati pride,0.28,panihati,2750.0,3.0,2.0,1,3.0,South-West,Under Construction,North,875.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
bellagio lvl nxt,1.02,rajarhat,4689.0,4.0,4.0,3,3.0,South-East,New Property,East,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
signum windmere,0.41,madhyamgram,4363.0,2.0,2.0,1,11.0,South-East,New Property,North,814.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0
srijoyee,0.35,mukundapur,4052.0,2.0,2.0,1,1.0,South,Moderately Old,South,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hiland greens,0.35,maheshtala,5239.0,3.0,2.0,1,13.0,South-East,Relatively New,South,820.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
aster gardens,0.5,rajarhat,4835.0,3.0,2.0,1,1.0,South-West,Relatively New,East,885.0,0.0,0.0,0.0,0.0,0.0,2.0,141.0
pramila niwas apartment,0.28,kumrakhali,3608.0,2.0,2.0,1,3.0,South-East,Moderately Old,South,664.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
perfect sharanya enclave,0.6,rajarhat,4777.0,3.0,2.0,1,3.0,South-West,Relatively New,East,1074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merlin maximus,0.6,sodepur,7142.0,2.0,2.0,1,1.0,South-West,Relatively New,North,633.0,0.0,0.0,0.0,0.0,0.0,2.0,54.0
dtc southern heights,0.69,joka,5036.0,3.0,3.0,2,2.0,South,New Property,South,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
diganta,0.75,em bypass,4915.0,3.0,2.0,1,2.0,South-East,Moderately Old,South,1276.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0
paharpur genexx valley,0.5,thakurpukur,4045.0,3.0,2.0,2,2.0,South,Moderately Old,South,1057.0,1.0,0.0,0.0,0.0,0.0,2.0,173.0
bengal shelter sisirkunja,0.45,madhyamgram,3827.0,3.0,2.0,2,7.0,East,Moderately Old,North,894.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0
kalikapur,0.38,kalikapur,4375.0,1.0,2.0,1,2.0,South-East,Moderately Old,South,684.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
prudent habitat,0.85,seal lane,7777.0,2.0,2.0,1,1.0,South-East,Relatively New,East,847.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0
north view apartment,0.36,behala,6636.0,2.0,2.0,1,1.0,North-East,New Property,South,650.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
airport tower,0.38,italgacha,3977.0,2.0,2.0,1,2.0,South-West,Moderately Old,North,753.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
srijan eternia,0.6,madhyamgram,5687.0,3.0,2.0,1,7.0,South,New Property,North,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0
