place,bedRoom,bathroom,balcony,facing,agePossession,Direction,built_up_area,servant room,furnishing_type,luxury_category,floor_category,price
5.0,2.0,2.0,1.0,7.0,2.0,0.0,653.0,0.0,0.0,1.0,1.0,0.22
9.0,2.0,2.0,1.0,4.0,0.0,1.0,684.0,0.0,0.0,1.0,2.0,0.38
36.0,2.0,2.0,1.0,4.0,2.0,2.0,749.0,0.0,2.0,1.0,2.0,0.55
104.0,3.0,2.0,1.0,0.0,3.0,0.0,1080.0,0.0,0.0,2.0,0.0,0.82
104.0,2.0,2.0,2.0,5.0,2.0,0.0,836.0,0.0,0.0,2.0,2.0,0.36
74.0,3.0,2.0,1.0,5.0,0.0,2.0,1172.0,0.0,2.0,1.0,1.0,0.6
75.0,2.0,2.0,1.0,6.0,3.0,2.0,557.0,0.0,0.0,2.0,2.0,0.2
56.0,2.0,2.0,2.0,5.0,4.0,2.0,528.0,0.0,0.0,1.0,1.0,0.38
129.0,3.0,2.0,1.0,5.0,2.0,2.0,873.0,0.0,2.0,2.0,1.0,0.7
96.0,3.0,2.0,1.0,6.0,4.0,1.0,875.0,0.0,0.0,1.0,2.0,0.28
104.0,4.0,4.0,3.0,5.0,1.0,0.0,1915.0,0.0,0.0,2.0,2.0,1.02
72.0,2.0,2.0,1.0,5.0,1.0,1.0,814.0,0.0,0.0,0.0,0.0,0.41
81.0,2.0,2.0,1.0,4.0,0.0,2.0,791.0,0.0,0.0,1.0,1.0,0.35
75.0,3.0,2.0,1.0,5.0,3.0,2.0,820.0,0.0,0.0,2.0,0.0,0.35
104.0,3.0,2.0,1.0,6.0,3.0,0.0,885.0,0.0,2.0,0.0,1.0,0.5
69.0,2.0,2.0,1.0,5.0,0.0,2.0,664.0,0.0,0.0,1.0,2.0,0.28
104.0,3.0,2.0,1.0,6.0,3.0,0.0,1074.0,0.0,0.0,1.0,2.0,0.6
121.0,2.0,2.0,1.0,6.0,3.0,1.0,633.0,0.0,2.0,2.0,1.0,0.6
53.0,3.0,3.0,2.0,4.0,1.0,2.0,1096.0,0.0,0.0,2.0,1.0,0.69
34.0,3.0,2.0,1.0,5.0,0.0,2.0,1276.0,0.0,0.0,1.0,1.0,0.75
127.0,3.0,2.0,2.0,4.0,0.0,2.0,1057.0,0.0,2.0,0.0,1.0,0.5
72.0,3.0,2.0,2.0,0.0,0.0,1.0,894.0,0.0,0.0,2.0,2.0,0.45
57.0,1.0,2.0,1.0,5.0,0.0,2.0,684.0,0.0,0.0,1.0,1.0,0.38
117.0,2.0,2.0,1.0,5.0,3.0,0.0,847.0,0.0,1.0,2.0,1.0,0.85
16.0,2.0,2.0,1.0,2.0,1.0,2.0,650.0,0.0,0.0,1.0,1.0,0.36
48.0,2.0,2.0,1.0,6.0,0.0,1.0,753.0,0.0,0.0,1.0,1.0,0.38
72.0,3.0,2.0,1.0,4.0,1.0,1.0,1138.0,0.0,0.0,0.0,2.0,0.6
59.0,3.0,2.0,1.0,5.0,1.0,2.0,944.0,0.0,0.0,1.0,0.0,0.61
75.0,2.0,2.0,1.0,2.0,3.0,2.0,609.0,0.0,0.0,2.0,0.0,0.35
16.0,3.0,3.0,1.0,5.0,3.0,2.0,1448.0,0.0,0.0,2.0,0.0,0.6
90.0,3.0,2.0,1.0,5.0,1.0,0.0,994.0,0.0,0.0,2.0,2.0,0.77
104.0,3.0,2.0,1.0,3.0,0.0,0.0,960.0,0.0,1.0,2.0,2.0,0.56
77.0,2.0,2.0,0.0,1.0,3.0,2.0,616.0,0.0,2.0,1.0,1.0,0.25
4.0,2.0,2.0,1.0,5.0,2.0,2.0,873.0,0.0,0.0,1.0,2.0,0.46
32.0,2.0,2.0,1.0,6.0,2.0,1.0,705.0,0.0,2.0,1.0,2.0,0.33
121.0,3.0,2.0,2.0,6.0,0.0,1.0,1163.0,0.0,2.0,0.0,0.0,0.8
104.0,2.0,2.0,1.0,5.0,1.0,0.0,689.0,0.0,2.0,0.0,2.0,0.31
66.0,3.0,2.0,1.0,5.0,2.0,1.0,1052.0,0.0,2.0,1.0,2.0,0.75
35.0,3.0,2.0,1.0,4.0,0.0,2.0,1086.0,0.0,0.0,2.0,1.0,0.65
36.0,2.0,2.0,1.0,0.0,0.0,2.0,855.0,0.0,0.0,1.0,1.0,0.28
112.0,2.0,2.0,0.0,0.0,2.0,2.0,813.0,0.0,0.0,1.0,1.0,0.42
113.0,3.0,2.0,1.0,0.0,3.0,1.0,1173.0,0.0,2.0,0.0,0.0,1.75
5.0,3.0,2.0,1.0,1.0,0.0,1.0,915.0,0.0,0.0,1.0,1.0,0.43
44.0,2.0,2.0,0.0,4.0,2.0,3.0,874.0,0.0,1.0,1.0,2.0,0.22
54.0,2.0,2.0,1.0,6.0,2.0,1.0,657.0,0.0,0.0,2.0,2.0,0.35
72.0,3.0,2.0,2.0,1.0,3.0,1.0,894.0,0.0,2.0,0.0,2.0,0.46
33.0,3.0,4.0,4.0,0.0,0.0,1.0,1412.0,0.0,0.0,2.0,2.0,0.85
66.0,3.0,2.0,2.0,4.0,0.0,1.0,1128.0,0.0,2.0,0.0,2.0,0.68
102.0,3.0,2.0,2.0,0.0,2.0,1.0,1151.0,0.0,0.0,2.0,2.0,0.7
72.0,2.0,2.0,1.0,0.0,1.0,1.0,671.0,0.0,0.0,0.0,0.0,0.55
55.0,3.0,2.0,2.0,5.0,2.0,1.0,941.0,0.0,0.0,1.0,2.0,0.45
10.0,2.0,2.0,1.0,5.0,1.0,2.0,513.0,0.0,0.0,1.0,1.0,0.21
94.0,3.0,2.0,1.0,1.0,0.0,2.0,943.0,0.0,0.0,1.0,1.0,0.51
54.0,2.0,2.0,2.0,4.0,0.0,1.0,1043.0,0.0,1.0,0.0,2.0,0.65
76.0,2.0,2.0,1.0,5.0,3.0,3.0,731.0,0.0,2.0,1.0,1.0,0.25
71.0,2.0,2.0,1.0,6.0,3.0,1.0,654.0,0.0,1.0,2.0,1.0,0.38
31.0,3.0,2.0,0.0,5.0,0.0,2.0,1176.0,0.0,2.0,1.0,1.0,0.55
122.0,3.0,2.0,1.0,5.0,3.0,2.0,1104.0,0.0,0.0,2.0,1.0,0.5
90.0,3.0,2.0,1.0,4.0,1.0,0.0,784.0,0.0,0.0,0.0,2.0,0.3
16.0,3.0,2.0,1.0,0.0,3.0,2.0,934.0,0.0,0.0,1.0,2.0,0.55
54.0,3.0,2.0,2.0,1.0,2.0,0.0,1250.0,0.0,1.0,1.0,2.0,0.9
